st_cty,Th1_Historic_Undervaccination,Th2_Sociodemographic_Barriers,Th3_Resource_constrained_Healthcare_System,Th4_Healthcare_Accessibility_Barriers,Th5_Irregular_Care_Seeking_Behavior,CVAC
AL Jefferson County,0.300222859,0.420248329,0.150588984,0.866284623,0.650429799,0.4692773
AL Lamar County,0.41228908,0.800700414,0.423432028,0.88411334,0.798471824,0.76727157
AL Lauderdale County,0.199936326,0.566380134,0.309137217,0.812161732,0.729703916,0.548551417
AL Lawrence County,0.321872015,0.810251512,0.738618274,0.774912448,0.785100287,0.797516714
AL Lee County,0.449538364,0.338745622,0.507800064,0.505889844,0.897166507,0.578796562
AL Limestone County,0.287806431,0.172238141,0.64565425,0.427252467,0.841133397,0.463865011
AL Lowndes County,0.373447947,0.936007641,0.917542184,0.94269341,0.557147405,0.871060172
AL Macon County,0.565425024,0.870423432,0.59025788,0.921362623,0.618592805,0.828716969
AL Madison County,0.301496339,0.102833493,0.199936326,0.477554919,0.776822668,0.29162687
AL Marengo County,0.500159185,0.922636103,0.566698504,0.934734161,0.676536135,0.836676218
AL Marion County,0.473734479,0.830308819,0.854504935,0.76249602,0.838586437,0.88124801
AL Marshall County,0.281439032,0.641515441,0.438713785,0.701368991,0.830627189,0.638650111
AL Mobile County,0.231136581,0.714103789,0.368990767,0.826488379,0.698185291,0.621458134
AL Monroe County,0.567016874,0.94364852,0.631327603,0.973256925,0.741165234,0.900986947
AL Montgomery County,0.288124801,0.571792423,0.327602674,0.849092646,0.702642471,0.58834766
AL Morgan County,0.255332697,0.558739255,0.429162687,0.681630054,0.804202483,0.58611907
AL Perry County,0.601719198,0.966571156,0.665393187,0.949697549,0.687360713,0.903215536
AL Pickens County,0.417382999,0.871378542,0.439668895,0.936644381,0.699140401,0.782553327
AL Pike County,0.489971347,0.900031837,0.360713149,0.872970392,0.793696275,0.793377905
AL Randolph County,0.461636422,0.744667303,0.522445081,0.833174148,0.798790194,0.781598217
AL Russell County,0.387456224,0.780006367,0.784145177,0.948742439,0.697230181,0.835084368
AL St. Clair County,0.318051576,0.333651703,0.76536135,0.399235912,0.839541547,0.560967845
AL Shelby County,0.382680675,0.023559376,0.202801656,0.283667622,0.848774276,0.253740847
AL Sumter County,0.618274435,0.977714104,0.901305317,0.982808023,0.702324101,0.959567017
AL Talladega County,0.490289717,0.785418656,0.742438714,0.902897167,0.676854505,0.835402738
AL Tallapoosa County,0.437121936,0.710920089,0.249283668,0.88379497,0.622731614,0.642152181
AL Tuscaloosa County,0.419293219,0.420885068,0.379496975,0.64883795,0.853231455,0.583253741
AL Walker County,0.417064629,0.728748806,0.305316778,0.791786055,0.769818529,0.680356574
AL Washington County,0.496338746,0.94301178,0.717287488,0.556192295,0.82234957,0.82234957
AL Wilcox County,0.917542184,0.994906081,0.52849411,0.978032474,0.665393187,0.94396689
AL Winston County,0.41451767,0.82457816,0.557465775,0.790830946,0.848137536,0.798790194
AK Aleutians East Borough,0.964660936,0.686405603,0.121935689,0.975167144,0.983444763,0.872970392
AK Aleutians West Census Area,0.967844635,0.372811207,0.033110474,0.957020057,0.984399873,0.76599809
AK Anchorage Municipality,0.789239096,0.129258198,0.108564152,0.515759312,0.966252786,0.505253104
AK Bethel Census Area,0.99840815,0.853231455,0.009232728,0.968163005,0.978669214,0.890480739
AK Bristol Bay Borough,0.886978669,0.172556511,0.006685769,0.960522127,0.977714104,0.677809615
AK Denali Borough,0.954154728,0.108564152,0.281120662,0.461636422,0.979624323,0.605858007
AK Dillingham Census Area,0.99713467,0.631964343,0.007959249,0.969436485,0.973575294,0.831263929
AK Fairbanks North Star Borough,0.899713467,0.05889844,0.209487424,0.457815982,0.980261063,0.543775868
AK Haines Borough,0.978987584,0.190066858,0.010187838,0.780643107,0.949379179,0.643425661
AK Hoonah-Angoon Census Area,0.937599491,0.732569245,0.022604266,0.972301815,0.952244508,0.842088507
AK Juneau City and Borough,0.791786055,0.062082139,0.054122891,0.715695638,0.959885387,0.536134989
AK Kenai Peninsula Borough,0.828398599,0.198662846,0.093919134,0.814390322,0.974848774,0.643744031
AK Ketchikan Gateway Borough,0.76599809,0.29703916,0.030245145,0.846545686,0.954791468,0.638968481
AK Kodiak Island Borough,0.959248647,0.215218083,0.011779688,0.9417383,0.975167144,0.70741802
AK Kusilvak Census Area,0.950652658,0.953836358,0.149315505,0.967844635,0.975485514,0.927093282
AK Lake and Peninsula Borough,0.969754855,0.753900032,0.067494429,0.974848774,0.976758994,0.875517351
AK Matanuska-Susitna Borough,0.945877109,0.151225724,0.347023241,0.368672397,0.972620185,0.606176377
AK Nome Census Area,0.99936326,0.656478828,0.028971665,0.970073225,0.979624323,0.848137536
AK North Slope Borough,0.974212034,0.608404967,0.394460363,0.963705826,0.984081503,0.916905444
AK Northwest Arctic Borough,0.975803884,0.773002229,0.018465457,0.973575294,0.980897803,0.869468322
AK Petersburg Borough,0.937599491,0.273479784,0.006367399,0.893346068,0.967844635,0.696275072
AK Prince of Wales-Hyder Census Area,0.955109838,0.627188793,0.003820439,0.956064947,0.970073225,0.815982171
AK Sitka City and Borough,0.986946832,0.132760267,0.004457179,0.907672716,0.976122254,0.679719834
AK Skagway Municipality,0.950652658,0.104425342,0.007640879,0.94014645,0.981852913,0.670168736
AK Southeast Fairbanks Census Area,0.950652658,0.574976122,0.110792741,0.597262018,0.980261063,0.742757084
AK Valdez-Cordova Census Area,0.950652658,0.080229226,0.050620821,0.856415154,0.979305954,0.64597262
AK Wrangell City and Borough,0.915631964,0.532951289,0.022922636,0.959248647,0.945240369,0.785737026
AK Yakutat City and Borough,0.955746578,0.569882203,0.155682904,0.964342566,0.975803884,0.843361987
AK Yukon-Koyukuk Census Area,0.961158867,0.996497931,0.091053805,0.973893664,0.959885387,0.925501433
AZ Apache County,0.99777141,1,0.970391595,0.972938555,0.990448902,1
AZ Cochise County,0.995224451,0.662209487,0.687042343,0.544094238,0.985673352,0.904489016
AZ Coconino County,0.99745304,0.546641197,0.537408469,0.41451767,0.995224451,0.811843362
AZ Gila County,0.985673352,0.935689271,0.847819166,0.674944285,0.902897167,0.979942693
AZ Graham County,0.988538682,0.728112066,0.82585164,0.575931232,0.996497931,0.948742439
AZ Greenlee County,0.829672079,0.391595033,0.895256288,0.095192614,0.994269341,0.740846864
AZ La Paz County,0.981216173,0.981534543,0.888252149,0.851002865,0.906080866,0.995861191
AZ Maricopa County,0.978350844,0.275390003,0.70359758,0.47309774,0.992040751,0.794651385
AZ Mohave County,0.958611907,0.754536772,0.819802611,0.504616364,0.895893028,0.918815664
AZ Navajo County,0.987265202,0.995224451,0.861509074,0.917223814,0.985036613,0.99968163
AZ Pima County,0.979624323,0.428207577,0.602992677,0.672397326,0.989175422,0.858007004
AZ Pinal County,0.993950971,0.406240051,0.93982808,0.377586756,0.990767272,0.865647883
AZ Santa Cruz County,0.88443171,0.951289398,0.919452404,0.568927093,0.991722381,0.976758994
AZ Yavapai County,0.971983445,0.382999045,0.730659026,0.342884432,0.88220312,0.76440624
AZ Yuma County,0.808978032,0.873925501,0.924546323,0.58707418,0.992359121,0.960840497
AR Arkansas County,0.560649475,0.657433938,0.369945877,0.815027061,0.723336517,0.715377268
AR Ashley County,0.514485833,0.944921999,0.547277937,0.756128621,0.734797835,0.813753582
AR Baxter County,0.139446036,0.525947151,0.493791786,0.274116523,0.428844317,0.29353709
AR Benton County,0.251512257,0.35370901,0.457179242,0.271569564,0.814390322,0.392231773
AR Boone County,0.251830627,0.23368354,0.300222859,0.561922954,0.584527221,0.316141356
AR Bradley County,0.338745622,0.921044253,0.274434893,0.894619548,0.750079592,0.732569245
AR Calhoun County,0.372492837,0.798471824,0.523081821,0.752308182,0.556829035,0.677172875
AR Carroll County,0.285259472,0.785418656,0.456542502,0.679083095,0.750397962,0.659980898
AR Chicot County,0.534224769,0.959567017,0.312639287,0.922317733,0.64692773,0.785418656
AR Clark County,0.315504616,0.770136899,0.349888571,0.787965616,0.724928367,0.655523719
AR Clay County,0.433619866,0.70296084,0.224450812,0.837631328,0.722063037,0.64756447
AR Cleburne County,0.381407195,0.460044572,0.357847819,0.302133079,0.627507163,0.383954155
AR Cleveland County,0.299267749,0.638968481,0.901623687,0.498567335,0.617000955,0.658707418
AR Columbia County,0.457815982,0.901623687,0.348296721,0.582298631,0.58834766,0.633874562
AR Conway County,0.467367081,0.82075772,0.651384909,0.621139764,0.779687997,0.773957338
AR Craighead County,0.232091691,0.343202802,0.240369309,0.690862783,0.793059535,0.440942375
AR Crawford County,0.242279529,0.717287488,0.782871697,0.454313913,0.744030564,0.652658389
AR Crittenden County,0.415472779,0.758993951,0.366762178,0.838586437,0.611588666,0.673352436
AR Cross County,0.331423114,0.64629099,0.633556192,0.698503661,0.742120344,0.689907673
AR Dallas County,0.392868513,0.829353709,0.676217765,0.842406877,0.59057625,0.771092009
AR Desha County,0.545686087,0.990448902,0.575294492,0.871378542,0.669850366,0.852276345
AR Drew County,0.47023241,0.493473416,0.441260745,0.695956702,0.794651385,0.639286851
AR Faulkner County,0.356255969,0.215854823,0.347659981,0.514804202,0.841451767,0.434574976
AR Franklin County,0.280802292,0.76345113,0.443170965,0.553963706,0.658070678,0.579114932
AR Fulton County,0.378541866,0.832219039,0.250875517,0.618911175,0.58771092,0.567971983
AR Garland County,0.163960522,0.599172238,0.142948106,0.816300541,0.492199936,0.41451767
AR Grant County,0.205666985,0.23782235,0.812161732,0.165234002,0.70391595,0.382680675
AR Greene County,0.277936963,0.384909265,0.570200573,0.560649475,0.721107927,0.509710283
AR Hempstead County,0.363578478,0.859917224,0.628780643,0.638331741,0.606494747,0.70487106
AR Hot Spring County,0.230499841,0.890799109,0.598217128,0.579114932,0.797516714,0.70359758
AR Howard County,0.484559058,0.925819803,0.772683859,0.750716332,0.76345113,0.863419293
AR Independence County,0.23241006,0.736071315,0.222222222,0.497293855,0.692454632,0.467367081
AR Izard County,0.321872015,0.747851003,0.276345113,0.715377268,0.633874562,0.577841452
AR Jackson County,0.2330468,0.809614772,0.518624642,0.570837313,0.799426934,0.650429799
AR Jefferson County,0.329194524,0.866602993,0.40974212,0.855778415,0.578796562,0.687997453
AR Johnson County,0.331423114,0.945877109,0.718879338,0.755491882,0.851957975,0.837949698
AR Lafayette County,0.498885705,0.970073225,0.844953836,0.88124801,0.58834766,0.885705189
AR Lawrence County,0.446354664,0.595988539,0.680038204,0.394141993,0.782871697,0.640241961
AR Lee County,0.52944922,0.993632601,0.934415791,0.890480739,0.744667303,0.945240369
AR Lincoln County,0.558420885,0.874243871,0.834765998,0.701687361,0.813435212,0.885386819
AR Little River County,0.269022604,0.607449857,0.817255651,0.793059535,0.712830309,0.739573384
AR Logan County,0.41037886,0.657752308,0.626233684,0.366762178,0.76599809,0.618274435
AR Lonoke County,0.216809933,0.149633875,0.657752308,0.439032155,0.792422795,0.428844317
AR Madison County,0.343839542,0.82489653,0.631964343,0.720789557,0.673352436,0.737344795
AR Marion County,0.312639287,0.501114295,0.710283349,0.672397326,0.541228908,0.58771092
AR Miller County,0.254377587,0.677172875,0.702005731,0.817574021,0.663482967,0.710601719
AR Mississippi County,0.321235275,0.833492518,0.718560968,0.872333652,0.638968481,0.787010506
AR Monroe County,0.570837313,0.896211398,0.315822986,0.911811525,0.58834766,0.757720471
AR Montgomery County,0.421840178,0.94014645,0.524355301,0.511302133,0.627507163,0.683858644
AR Nevada County,0.451766953,0.858007004,0.858325374,0.595988539,0.507800064,0.754855142
AR Newton County,0.369945877,0.70487106,0.504934734,0.274753263,0.522763451,0.466093601
AR Ouachita County,0.29226361,0.890162369,0.371219357,0.830308819,0.46959567,0.626233684
AR Perry County,0.290035021,0.603629417,0.796879975,0.570200573,0.655842089,0.64533588
AR Phillips County,0.506526584,0.854504935,0.383954155,0.907991086,0.511938873,0.728112066
AR Pike County,0.455269023,0.814390322,0.685768863,0.53231455,0.800063674,0.759630691
AR Poinsett County,0.29608405,0.64756447,0.713785419,0.785418656,0.655523719,0.7055078
AR Polk County,0.433619866,0.894301178,0.193250557,0.729067176,0.716650748,0.662846227
AR Pope County,0.208532315,0.664438077,0.502706145,0.632601082,0.804520853,0.613817256
AR Prairie County,0.502706145,0.64597262,0.659980898,0.609041706,0.673670805,0.700732251
AR Pulaski County,0.23814072,0.52849411,0.11620503,0.676217765,0.670168736,0.418338109
AR Randolph County,0.441579115,0.783508437,0.562241324,0.500159185,0.759949061,0.689270933
AR St. Francis County,0.304361668,0.848137536,0.623049984,0.907035976,0.673989175,0.779051258
AR Saline County,0.194842407,0.068449538,0.618274435,0.372811207,0.694046482,0.322508755
AR Scott County,0.414836039,0.912129895,0.574339382,0.911174785,0.796879975,0.839859917
AR Searcy County,0.421840178,0.871696912,0.487742757,0.837631328,0.644062401,0.752626552
AR Sebastian County,0.242279529,0.694364852,0.182744349,0.735434575,0.76281439,0.548869787
AR Sevier County,0.40910538,0.861827443,0.509710283,0.656478828,0.88283986,0.767908309
AR Sharp County,0.369945877,0.841770137,0.605221267,0.572429163,0.581025151,0.663801337
AR Stone County,0.319961796,0.846864056,0.623368354,0.538363578,0.603947787,0.651066539
AR Union County,0.357847819,0.925819803,0.23272843,0.536134989,0.533588029,0.537090099
AR Van Buren County,0.325055715,0.682903534,0.209487424,0.809933142,0.639286851,0.566698504
AR Washington County,0.281120662,0.40910538,0.128303088,0.630372493,0.863419293,0.445717924
AR White County,0.200573066,0.482967208,0.312957657,0.760267431,0.777459408,0.518624642
AR Woodruff County,0.517987902,0.904489016,0.304998408,0.847500796,0.622731614,0.739255014
AR Yell County,0.360713149,0.88124801,0.810888252,0.568290353,0.775867558,0.789875836
CA Alameda County,0.744667303,0.228907991,0.273798153,0.333651703,0.983763133,0.5307227
CA Alpine County,0.988857052,0.498248965,0.862464183,0.549188157,0.957975167,0.901305317
CA Amador County,0.786055396,0.258516396,0.508755174,0.222222222,0.945877109,0.582935371
CA Butte County,0.857051894,0.447628144,0.401782872,0.301177969,0.958611907,0.662209487
CA Calaveras County,0.973575294,0.345431391,0.597262018,0.013689908,0.904489016,0.619866285
CA Colusa County,0.88156638,0.673352436,0.534224769,0.513212353,0.99968163,0.837312958
CA Contra Costa County,0.744985673,0.196115887,0.380770455,0.077682267,0.977714104,0.465775231
CA Del Norte County,0.99968163,0.746577523,0.12034384,0.495702006,0.984718243,0.776822668
CA El Dorado County,0.76727157,0.105698822,0.425978988,0.049984082,0.911493155,0.430117797
CA Fresno County,0.82457816,0.697230181,0.289398281,0.505571474,0.995861191,0.76504298
CA Glenn County,0.864056033,0.921044253,0.720789557,0.226997771,0.99713467,0.872333652
CA Humboldt County,0.995542821,0.461954791,0.050620821,0.479146769,0.981216173,0.663482967
CA Imperial County,0.813753582,0.843043617,0.533588029,0.663482967,0.99936326,0.898758357
CA Inyo County,0.904170646,0.482330468,0.123845909,0.23432028,0.912766635,0.561922954
CA Kern County,0.848455906,0.758675581,0.534543139,0.379496975,0.99808978,0.817892391
CA Kings County,0.877745941,0.695319962,0.41292582,0.276345113,1,0.752308182
CA Lake County,0.996816301,0.840815027,0.501114295,0.280802292,0.908946195,0.820439351
CA Lassen County,0.892709328,0.640878701,0.386819484,0.170009551,0.995542821,0.698185291
CA Los Angeles County,0.858962114,0.449538364,0.243234639,0.563833174,0.994906081,0.709009869
CA Madera County,0.928366762,0.730340656,0.337790513,0.183381089,0.995861191,0.731295766
CA Marin County,0.783190067,0.088825215,0.146450175,0.023241006,0.885705189,0.314549507
CA Mariposa County,0.99808978,0.7669532,0.615727475,0.152499204,0.917542184,0.802610634
CA Mendocino County,0.909264565,0.711238459,0.055396371,0.418656479,0.94396689,0.687679083
CA Merced County,0.805475963,0.657752308,0.604902897,0.41069723,0.99872652,0.808978032
CA Modoc County,0.972620185,0.950334288,0.225087552,0.277300223,0.934734161,0.780961477
CA Mono County,0.966889526,0.384272525,0.449219994,0.201846546,0.996497931,0.675581025
CA Monterey County,0.793377905,0.477554919,0.408468641,0.168736071,0.99840815,0.624005094
CA Napa County,0.806431073,0.239095829,0.262336835,0.098376313,0.982171283,0.46991404
CA Nevada County,0.978032474,0.124164279,0.313594397,0.092327284,0.874880611,0.46768545
CA Orange County,0.76313276,0.240050939,0.1747851,0.082139446,0.987265202,0.425342248
CA Placer County,0.76249602,0.072906718,0.278573703,0.017828717,0.913721745,0.35211716
CA Plumas County,0.954473098,0.500159185,0.11524992,0.11907036,0.910856415,0.541228908
CA Riverside County,0.878701051,0.439350525,0.504616364,0.105698822,0.992677491,0.64788284
CA Sacramento County,0.785418656,0.340655842,0.366125438,0.213626234,0.985354982,0.576249602
CA San Benito County,0.88475008,0.336517033,0.614453996,0.05921681,0.99745304,0.638331741
CA San Bernardino County,0.961477237,0.497612225,0.47341611,0.137854187,0.99745304,0.694046482
CA San Diego County,0.892072588,0.255969436,0.282712512,0.189111748,0.988538682,0.545367717
CA San Francisco County,0.848774276,0.193887297,0.100286533,0.41165234,0.982489653,0.519261382
CA San Joaquin County,0.797516714,0.537726839,0.524992041,0.239414199,0.993632601,0.701368991
CA San Luis Obispo County,0.709964979,0.213944604,0.17510347,0.078319007,0.978987584,0.394460363
CA San Mateo County,0.759949061,0.123209169,0.262018465,0.06112703,0.977395734,0.402101242
CA Santa Barbara County,0.777777778,0.332696593,0.168736071,0.327284304,0.993950971,0.542184018
CA Santa Clara County,0.769181789,0.129576568,0.290990131,0.05635148,0.985673352,0.419293219
CA Santa Cruz County,0.88379497,0.318688316,0.139127666,0.093282394,0.986946832,0.483922318
CA Shasta County,0.874562241,0.47118752,0.053804521,0.35052531,0.914040115,0.565425024
CA Sierra County,0.990448902,0.534224769,0.23272843,0.718242598,0.893982808,0.784463547
CA Siskiyou County,0.946832219,0.655842089,0.071314868,0.393186883,0.933142311,0.676217765
CA Solano County,0.859917224,0.252785737,0.418019739,0.05698822,0.982808023,0.533269659
CA Sonoma County,0.792741165,0.210124164,0.23782235,0.081821076,0.966889526,0.437440306
CA Stanislaus County,0.796879975,0.548233047,0.435530086,0.169054441,0.993314231,0.653931869
CA Sutter County,0.757720471,0.58643744,0.189111748,0.313912767,0.986628462,0.619547915
CA Tehama County,0.858643744,0.893027698,0.442215855,0.431072907,0.950015918,0.829990449
CA Trinity County,0.992677491,0.876154091,0.520853231,0.525310411,0.924864693,0.895256288
CA Tulare County,0.837312958,0.82266794,0.300222859,0.248965298,0.99904489,0.741483604
CA Tuolumne County,0.971665075,0.442215855,0.23400191,0.114613181,0.894301178,0.561604585
CA Ventura County,0.753263292,0.256606176,0.231773321,0.114294811,0.988857052,0.458134352
CA Yolo County,0.82362305,0.312957657,0.246099968,0.29576568,0.994587711,0.571474053
CA Yuba County,0.831263929,0.562241324,0.678764725,0.338427252,0.987901942,0.790512576
CO Adams County,0.287488061,0.304361668,0.427889207,0.196115887,0.660936008,0.297994269
CO Alamosa County,0.384909265,0.839859917,0.094555874,0.710283349,0.680674944,0.580388411
CO Arapahoe County,0.242279529,0.146450175,0.425023878,0.144858325,0.521171601,0.17446673
CO Archuleta County,0.520534862,0.162368672,0.403374721,0.172238141,0.406876791,0.226997771
CO Baca County,0.556510665,0.776504298,0.601400828,0.52944922,0.349251831,0.614135626
CO Bent County,0.592168099,0.858007004,0.610633556,0.804839223,0.680038204,0.82457816
CO Boulder County,0.263291945,0.054122891,0.329194524,0.097739573,0.519261382,0.112702961
CO Broomfield County,0.205985355,0.029290035,0.532632919,0.016555237,0.437758676,0.103788602
CO Chaffee County,0.305316778,0.239732569,0.112384591,0.566380134,0.457179242,0.231773321
CO Cheyenne County,0.522126711,0.121935689,0.386501114,0.245144858,0.440942375,0.244508118
CO Clear Creek County,0.23368354,0.101560013,0.727156956,0.173193251,0.311047437,0.191658707
CO Conejos County,0.498248965,0.932505571,0.348296721,0.752308182,0.661572748,0.736071315
CO Costilla County,0.339382362,0.979305954,0.700095511,0.692773002,0.578478192,0.760585801
CO Crowley County,0.463546641,0.856733524,0.631009233,0.182744349,0.691499522,0.617319325
CO Custer County,0.316459726,0.439032155,0.659662528,0.264247055,0.284304362,0.325374085
CO Delta County,0.213307864,0.789557466,0.537726839,0.418019739,0.371537727,0.451448583
CO Denver County,0.244508118,0.262018465,0.255332697,0.616364215,0.64597262,0.344476281
CO Dolores County,0.518624642,0.614135626,0.472461,0.035975804,0.384590895,0.345113021
CO Douglas County,0.230818211,0.006367399,0.517032792,0.009551098,0.376631646,0.085004776
CO Eagle County,0.332378223,0.188156638,0.169372811,0.185291309,0.664119707,0.188475008
CO Elbert County,0.252148997,0.00063674,0.747532633,0.035975804,0.300222859,0.130850048
CO El Paso County,0.336198663,0.099968163,0.454950653,0.088188475,0.510983763,0.17765043
CO Fremont County,0.289716651,0.380452085,0.594078319,0.419293219,0.462909901,0.391276663
CO Garfield County,0.392550143,0.188793378,0.385864374,0.253422477,0.674944285,0.303406558
CO Gilpin County,0.268067494,0.062400509,0.726201847,0.055714741,0.337472143,0.165234002
CO Grand County,0.518306272,0.070359758,0.612862146,0.230818211,0.577841452,0.340337472
CO Gunnison County,0.361668259,0.109200891,0.212034384,0.151544094,0.666666667,0.17828717
CO Hinsdale County,0.35179879,0.069404648,0.70487106,0.189748488,0.376631646,0.23686724
CO Huerfano County,0.492836676,0.82617001,0.094874244,0.810569882,0.371219357,0.539955428
CO Jackson County,0.507163324,0.604584527,0.690544413,0.110156001,0.455269023,0.463228271
CO Jefferson County,0.239732569,0.045526902,0.424705508,0.032155365,0.397644062,0.084686406
CO Kiowa County,0.435848456,0.226042662,0.497930595,0.375994906,0.330468004,0.29608405
CO Kit Carson County,0.609996816,0.432028017,0.551735116,0.607449857,0.625596944,0.617956065
CO Lake County,0.301814709,0.520534862,0.163960522,0.267112385,0.654886979,0.308182108
CO La Plata County,0.275708373,0.1197071,0.140082776,0.127029608,0.506526584,0.091372174
CO Larimer County,0.23241006,0.055714741,0.35466412,0.064629099,0.463546641,0.092645654
CO Las Animas County,0.560649475,0.919134034,0.495383636,0.747532633,0.620184655,0.774912448
CO Lincoln County,0.393186883,0.615090735,0.140082776,0.546641197,0.619229545,0.446354664
CO Logan County,0.420248329,0.209487424,0.190066858,0.669850366,0.560331105,0.35498249
CO Mesa County,0.266157275,0.221903852,0.267112385,0.213944604,0.41006049,0.145176695
CO Mineral County,0.324737345,0.067812798,0.746895893,0.17892391,0.29258198,0.211397644
CO Moffat County,0.523400191,0.553008596,0.221585482,0.701050621,0.620821394,0.549188157
CO Montezuma County,0.505889844,0.747532633,0.228271251,0.213944604,0.476281439,0.398917542
CO Montrose County,0.323782235,0.720471188,0.197389366,0.429799427,0.319643426,0.333014963
CO Morgan County,0.260744986,0.462591531,0.212989494,0.369627507,0.542184018,0.287806431
CO Otero County,0.427570837,0.922954473,0.35020694,0.810888252,0.598853868,0.709009869
CO Ouray County,0.306590258,0.018783827,0.562241324,0.164278892,0.29385546,0.134033747
CO Park County,0.316141356,0.013689908,0.734161095,0.123209169,0.327602674,0.182425979
CO Phillips County,0.442852595,0.330786374,0.376631646,0.270296084,0.445081184,0.29544731
CO Pitkin County,0.319006686,0.089461955,0.260426616,0.548233047,0.584845591,0.272206304
CO Prowers County,0.445717924,0.768226679,0.290353391,0.501432665,0.638013372,0.556510665
CO Pueblo County,0.286532951,0.685132124,0.247373448,0.446673034,0.553963706,0.416427889
CO Rio Blanco County,0.563514804,0.241961159,0.238459089,0.147086915,0.595988539,0.266794015
CO Rio Grande County,0.608723337,0.911493155,0.29290035,0.834129258,0.618911175,0.753581662
CO Routt County,0.387774594,0.05730659,0.083731296,0.136262337,0.624323464,0.11875199
CO Saguache County,0.389684814,0.907991086,0.476281439,0.625278574,0.617637695,0.681948424
CO San Juan County,0.276981853,0.47341611,0.728748806,0.517669532,0.540592168,0.519579752
CO San Miguel County,0.41133397,0.214262974,0.183062719,0.187519898,0.606176377,0.206940465
CO Sedgwick County,0.492199936,0.672715696,0.463546641,0.438713785,0.339700732,0.477554919
CO Summit County,0.284304362,0.200254696,0.076090417,0.220312003,0.622731614,0.154409424
CO Teller County,0.259471506,0.033110474,0.489334607,0.11556829,0.273798153,0.092964024
CO Washington County,0.405603311,0.238459089,0.758993951,0.225405922,0.4110156,0.349570201
CO Weld County,0.268385864,0.185609678,0.669531996,0.092964024,0.602674308,0.278573703
CO Yuma County,0.484240688,0.59025788,0.446354664,0.304680038,0.570200573,0.47277937
CT Fairfield County,0.289398281,0.17605858,0.0614454,0.357529449,0.007640879,0.040751353
